Tweets,len,ID,Date,Source,Likes,RTs
I congratulate President Putin and the people of Russia for the successful organisation of the @FIFAWorldCup 2018.… https://t.co/XSZpUH4kok,139,1018552602445791232,2018-07-15 17:47:18,Twitter for Android,24319,4343
"An excellent match!

Congratulations to France for winning the @FIFAWorldCup. They played wonderfully through the t… https://t.co/dXhNwiufDU",140,1018543344182550528,2018-07-15 17:10:31,Twitter for iPhone,44692,8629
Some more glimpses from the public meeting in Mirzapur. https://t.co/xJ2TZsbOZr,79,1018457258404057088,2018-07-15 11:28:27,Twitter Web Client,11480,2365
"हमारा संकल्प है गरीब, निम्न मध्यम वर्ग और मध्यम वर्ग को उत्तम स्वास्थ्य सेवा मिले।

इसी प्रयास के अंतर्गत आज मिर्जा… https://t.co/Iz790Zk23I",140,1018456750549282816,2018-07-15 11:26:25,Media Studio,12473,2974
"पूर्वांचलवासियों का जीवन सरल बनाने के लिए केंद्र और यूपी सरकार अनेक कदम उठा रही है।

'बीज से बाजार तक' एप्रोच के सा… https://t.co/P7F973jluO",140,1018456659520294913,2018-07-15 11:26:04,Media Studio,9214,2342
"आज का दिन यूपी के लिए ऐतिहासिक है। आज बाणसागर बांध समेत 4,000 करोड़ रुपये की परियोजनाओं का लोकार्पण या शिलान्यास कि… https://t.co/bqYhf5TAKb",140,1018456619615752193,2018-07-15 11:25:54,Media Studio,15491,3255
"The Bansagar project always had the potential to help so many farmers but, after its foundation stone was laid in 1… https://t.co/z11FhTVbTr",140,1018456325674733568,2018-07-15 11:24:44,Twitter Web Client,4676,1383
"Key development projects were dedicated to the nation in Mirzapur. This includes the Bansagar Canal Project, 100 Ja… https://t.co/K56E73Jrz7",140,1018456072963657728,2018-07-15 11:23:44,Twitter Web Client,7231,1724
"Braving the scorching heat, huge number of people attended the public meeting in Mirzapur. I am grateful to them fo… https://t.co/tpZzDlbItp",140,1018455462029742082,2018-07-15 11:21:18,Twitter Web Client,8025,2045
"A book 'Meri Kashi' was released during the programme this evening, which offers valuable glimpses of the developme… https://t.co/mVqXP8Ts3o",140,1018160969011384321,2018-07-14 15:51:06,Twitter for iPhone,13039,2892
Happy to have interacted with eminent citizens from different walks of life. My relation with this ancient city is… https://t.co/y1MQvyKlpH,139,1018160466097573894,2018-07-14 15:49:06,Twitter for iPhone,9034,2218
From the public meeting in Varanasi. https://t.co/oKojVBwBj3,60,1018122756733489152,2018-07-14 13:19:15,Twitter Web Client,11940,2583
"जो लोग कभी एक-दूसरे को देखना तक पसंद नहीं करते थे, वो अब एक साथ आ गए हैं। अपने स्वार्थ के लिए विकास को रोकना चाहते… https://t.co/abRIt6h40M",139,1018122219065675782,2018-07-14 13:17:07,Media Studio,25092,6050
"मोदी हो या योगी, हमारे लिए आप सब ही हमारा परिवार हैं। आपके सपने हमारे सपने हैं। 
 
केंद्र सरकार और यूपी सरकार गरीब… https://t.co/mC0SUHoEhx",139,1018121915934957569,2018-07-14 13:15:55,Media Studio,12090,3188
"पूर्वांचल एक्सप्रेस-वे पूरे यूपी, विशेष तौर पर पूर्वी उत्तर प्रदेश की आशाओं और आकाक्षाओं को नई बुलंदियां देने वाला… https://t.co/eP7MZMJpfk",139,1018121856581324801,2018-07-14 13:15:41,Media Studio,7842,2048
"पिछले 1 वर्ष में योगी जी और उनकी पूरी टीम का कार्य अभूतपूर्व है। 
 
अपराध और भ्रष्टाचार, दोनों पर नियंत्रण लगाया है… https://t.co/yNUuzZ9y97",140,1018121768349945856,2018-07-14 13:15:20,Media Studio,12234,2832
Euphoric atmosphere at the public meeting in Azamgarh. Laid the foundation stone for the Poorvanchal Expressway and… https://t.co/6eePYdb1Mq,140,1018121361536028672,2018-07-14 13:13:43,Twitter Web Client,4828,1424
Addressed a massive public meeting in Varanasi. Inaugurated and laid the foundation stone for various development w… https://t.co/RpShx1gx2a,140,1018120739055112192,2018-07-14 13:11:14,Twitter Web Client,6248,1660
"Unforgettable moments from @HimaDas8’s victory. 
Seeing her passionately search for the Tricolour immediately after… https://t.co/HSpM4iffpD",140,1017980225190334466,2018-07-14 03:52:53,Media Studio,58969,17005
"Best wishes to the Kutchi community on Aashadhi Beej, the Kutchi New Year. 

May the coming year bring happiness as… https://t.co/P89RV0ejsT",140,1017953967442100225,2018-07-14 02:08:33,Twitter for iPhone,13281,2679
"Greetings on the auspicious occasion of Rath Yatra. 

With the blessings of Lord Jagannath, may our country scale n… https://t.co/EOICYdr4LM",140,1017935717585113088,2018-07-14 00:56:02,Media Studio,27743,6878
"Much needed and welcome change. 

More Indians should venture out, visit our archaeological treasures and come back… https://t.co/4IRur2EJWa",140,1017732577229074433,2018-07-13 11:28:49,Twitter Web Client,11748,2969
"India is delighted and proud of athlete Hima Das, who won a historic Gold in the 400m of World U20 Championships. C… https://t.co/G4VIjTgwno",140,1017621089378172928,2018-07-13 04:05:48,Twitter for iPhone,35252,7108
"Amazing to see Self Help Groups give our Nari Shakti the much needed confidence to take their own decisions. 

Thes… https://t.co/X4E5aO93VA",140,1017406586908651520,2018-07-12 13:53:27,Media Studio,12803,2843
"A team of women based in Kupwara, Jammu and Kashmir share how Self Help Groups mean greater economic prosperity. https://t.co/s416Sz4yoe",136,1017406351746596867,2018-07-12 13:52:31,Media Studio,7744,1984
"Attaining self-reliance and more profits, brick by brick. Know more about an interesting Self Help Group in Chhatti… https://t.co/m2mGOV6rqC",140,1017406183823499264,2018-07-12 13:51:51,Media Studio,6873,1724
Animal husbandry is an area where Self Help Groups are doing excellent work. These women from Maharashtra displayed… https://t.co/NtlucN0WKg,140,1017405891258150912,2018-07-12 13:50:41,Media Studio,7044,1838
"Value addition and proper marketing can be extremely beneficial, as this instance from Pataliputra in Bihar shows. https://t.co/Q4LZ0qaNYc",138,1017405665709395968,2018-07-12 13:49:47,Media Studio,6817,1727
Had the privilege of interacting with over a crore women from across India whose lives are being transformed due to… https://t.co/cW7ezaJlra,140,1017404542512558082,2018-07-12 13:45:20,Twitter Web Client,7397,1962
"India is deeply honoured to have hosted you, President Moon Jae-in. I thank you for your words of appreciation for… https://t.co/qeLzuoI0G0",139,1017354546811678720,2018-07-12 10:26:40,Twitter for iPhone,11439,3355
"문재인 대통령님, 인도를 방문해 주셔서 영광입니다. 인도 국민과 문화에 대한 따뜻한 말씀에도 감사합니다.

유구한 역사의 인도와 대한민국의 관계는 현재진행형입니다! 앞으로 더욱 굳건해 지리라 확신합니다… https://t.co/6YEJQH9HJ3",137,1017354119521165312,2018-07-12 10:24:58,Twitter for iPhone,9248,4228
